latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.60203,94.33016,309.13,1.04,1.02,2026-03-04,0249,T,31,6.1NRT,297.55,5.34,D
21.60076,94.33958,309.34,1.04,1.02,2026-03-04,0249,T,48,6.1NRT,297.91,4.98,D
21.62507,94.09271,307.52,1.06,1.03,2026-03-04,0249,T,56,6.1NRT,294.48,4.85,D
21.62374,94.10258,306.57,1.06,1.03,2026-03-04,0249,T,51,6.1NRT,294.61,4.32,D
20.6861,100.07491,323.2,1.57,1.24,2026-03-04,0249,T,82,6.1NRT,292.15,38.04,D
20.72603,99.71173,303.66,1.48,1.2,2026-03-04,0249,T,57,6.1NRT,292.16,7.84,D
21.22987,96.44095,314.9,1.02,1.01,2026-03-04,0249,T,70,6.1NRT,294.77,10.83,D
20.62295,100.18267,306.07,1.6,1.25,2026-03-04,0249,T,63,6.1NRT,291.43,11.44,D
21.47431,94.32397,311.47,1.04,1.02,2026-03-04,0249,T,64,6.1NRT,297.63,5.34,D
21.32269,94.41688,331.64,1.03,1.02,2026-03-04,0249,T,86,6.1NRT,297.82,26.94,D
21.32136,94.42653,323.58,1.03,1.02,2026-03-04,0249,T,80,6.1NRT,298.14,16.71,D
21.04161,96.26595,311.51,1.02,1.01,2026-03-04,0249,T,59,6.1NRT,297.27,6.26,D
21.04022,96.27534,309.95,1.02,1.01,2026-03-04,0249,T,55,6.1NRT,296.44,5.46,D
20.92378,96.01012,316.86,1.01,1,2026-03-04,0249,T,70,6.1NRT,299.94,8.51,D
20.92241,96.01949,312.51,1.01,1,2026-03-04,0249,T,61,6.1NRT,300.43,4.82,D
20.52098,97.92973,310.45,1.17,1.08,2026-03-04,0249,T,67,6.1NRT,296.08,8.47,D
20.94058,94.97955,311.88,1.01,1,2026-03-04,0249,T,60,6.1NRT,300.03,4.38,D
20.77346,95.31888,320.07,1,1,2026-03-04,0249,T,74,6.1NRT,302.33,10.52,D
20.84959,94.30482,306.84,1.03,1.02,2026-03-04,0249,T,39,6.1NRT,295.67,3.99,D
19.9206,100.28104,310.78,1.68,1.27,2026-03-04,0249,T,69,6.1NRT,294.35,16.23,D
